city,state_x,state_y,Place,pct_chg_20_24,jan1_2024_pop_est,latitude,longitude
arp,TX,TX,arp,9.8,979.0,32.43,-95.13
bastrop,TX,TX,bastrop,22.7,11892.0,30.11,-97.31
bloomington,TX,TX,,,,29.17,-96.95
bullard,TX,TX,bullard,20.7,4005.0,32.21,-95.47
cleveland,TX,TX,cleveland,24.3,9289.0,30.35,-95.07
daingerfield,TX,TX,daingerfield,-0.7,2505.0,32.92,-94.64
dayton,TX,TX,dayton,8.0,9476.0,30.06,-94.9
diboll,TX,TX,diboll,2.2,4555.0,31.05,-94.95
gilmer,TX,TX,gilmer,6.9,5179.0,32.73,-94.94
gladewater,TX,TX,gladewater,2.1,6262.0,32.48,-94.92
grand saline,TX,TX,grand saline,0.7,3130.0,32.73,-95.68
grapeland,TX,TX,grapeland,3.8,1520.0,31.55,-95.48
hawkins,TX,TX,hawkins,4.5,1331.0,32.4,-95.44
henderson,TX,TX,henderson,-0.2,13243.0,32.15,-94.79
hughes springs,TX,TX,hughes springs,-1.4,1553.0,32.96,-94.42
huntsville,TX,TX,huntsville,4.6,48069.0,30.72,-95.55
jacksonville,TX,TX,jacksonville,4.1,14572.0,31.96,-95.27
lindale,TX,TX,lindale,14.6,6941.0,32.54,-95.34
livingston,TX,TX,livingston,2.2,5766.0,30.71,-94.94
lufkin,TX,TX,lufkin,0.4,34285.0,31.34,-94.73
mineola,TX,TX,mineola,7.3,5174.0,32.66,-95.49
nacogdoches,TX,TX,nacogdoches,-1.1,31793.0,31.6,-94.65
overton,TX,TX,overton,-0.0,2274.0,32.24,-94.57
pittsburg,TX,TX,pittsburg,3.1,4471.0,32.95,-94.95
rusk,TX,TX,rusk,0.8,5329.0,32.27,-94.87
san augustine,TX,TX,san augustine,-2.0,1881.0,31.53,-94.07
shepherd,TX,TX,shepherd,1.9,2144.0,30.67,-94.99
trinity,TX,TX,trinity,6.5,2495.0,30.91,-95.35
troup,TX,TX,troup,5.9,2125.0,32.23,-95.01
tyler,TX,TX,tyler,4.5,110734.0,32.35,-95.3
victoria,TX,TX,victoria,2.6,67234.0,28.8,-96.99
winnsboro,TX,TX,winnsboro,1.3,3500.0,32.95,-95.29
baytown,TX,TX,baytown,-1.6,82378.0,29.74,-94.97
conroe,TX,TX,conroe,21.3,109130.0,30.31,-95.46
new waverly,TX,TX,new waverly,4.7,957.0,30.41,-95.33
willis,TX,TX,willis,7.5,6916.0,30.5,-95.52
